UNIT FILE                                  STATE           VENDOR PRESET
systemd-networkd.service                   disabled        disabled
systemd-oomd.service                       enabled         enabled
systemd-portabled.service                  static          -
systemd-poweroff.service                   static          -
systemd-pstore.service                     disabled        enabled
systemd-quotacheck.service                 static          -
systemd-random-seed.service                static          -
systemd-reboot.service                     static          -
systemd-remount-fs.service                 enabled-runtime disabled
systemd-repart.service                     static          -
systemd-resolved.service                   enabled         enabled
systemd-rfkill.service                     static          -
systemd-suspend-then-hibernate.service     static          -
systemd-suspend.service                    static          -
systemd-sysctl.service                     static          -
systemd-sysext.service                     disabled        disabled
systemd-sysusers.service                   static          -
systemd-time-wait-sync.service             disabled        disabled
systemd-timedated.service                  static          -
systemd-timesyncd.service                  disabled        disabled
systemd-tmpfiles-clean.service             static          -
systemd-tmpfiles-setup-dev.service         static          -
systemd-tmpfiles-setup.service             static          -
systemd-udev-settle.service                static          -
systemd-udev-trigger.service               static          -
systemd-udevd.service                      static          -
systemd-update-done.service                static          -
systemd-update-utmp-runlevel.service       static          -
systemd-update-utmp.service                static          -
systemd-user-sessions.service              static          -
systemd-userdbd.service                    indirect        disabled
systemd-vconsole-setup.service             static          -
systemd-volatile-root.service              static          -
systemd-zram-setup@.service                static          -
teamd@.service                             static          -
udisks2.service                            enabled         enabled
upower.service                             enabled         enabled
usb_modeswitch@.service                    static          -
user-runtime-dir@.service                  static          -
user@.service                              static          -
vgauthd.service                            enabled         disabled
vmtoolsd.service                           enabled         enabled
winbind.service                            disabled        disabled
wpa_supplicant.service                     disabled        disabled

248 unit files listed.

